bubbleSort'
bubbleSort
Operation;cur;list;passes;sorted;Predicate Sequence;Next Operation;Calls;Source Line No
o_init;0;[1,5,4,6,2,3,1];0;True;p_lt2(0) -> p_swap(0);o_move;;58
o_move;1;;;;p_endOfIteration(0) -> p_swap(1);o_swap;;62
o_swap;2;[1,4,5,6,2,3,1];;False;p_endOfIteration(0) -> p_swap(0);o_move;;66
o_move;3;;;;p_endOfIteration(0) -> p_swap(1);o_swap;;70
o_swap;4;[1,4,5,2,6,3,1];;;p_endOfIteration(0) -> p_swap(1);o_swap;;74
o_swap;5;[1,4,5,2,3,6,1];;;p_endOfIteration(0) -> p_swap(1);o_swap;;78
o_swap;6;[1,4,5,2,3,1,6];;;p_endOfIteration(1) -> p_nextIteration(1);o_next;;82
o_next;0;;1;True;p_swap(0);o_move;;86
o_move;1;;;;p_endOfIteration(0) -> p_swap(0);o_move;;89
o_move;2;;;;p_endOfIteration(0) -> p_swap(1);o_swap;;93
o_swap;3;[1,4,2,5,3,1,6];;False;p_endOfIteration(0) -> p_swap(1);o_swap;;97
o_swap;4;[1,4,2,3,5,1,6];;;p_endOfIteration(0) -> p_swap(1);o_swap;;101
o_swap;5;[1,4,2,3,1,5,6];;;p_endOfIteration(1) -> p_nextIteration(1);o_next;;105
o_next;0;;2;True;p_swap(0);o_move;;109
o_move;1;;;;p_endOfIteration(0) -> p_swap(1);o_swap;;112
o_swap;2;[1,2,4,3,1,5,6];;False;p_endOfIteration(0) -> p_swap(1);o_swap;;116
o_swap;3;[1,2,3,4,1,5,6];;;p_endOfIteration(0) -> p_swap(1);o_swap;;120
o_swap;4;[1,2,3,1,4,5,6];;;p_endOfIteration(1) -> p_nextIteration(1);o_next;;124
o_next;0;;3;True;p_swap(0);o_move;;128
o_move;1;;;;p_endOfIteration(0) -> p_swap(0);o_move;;131
o_move;2;;;;p_endOfIteration(0) -> p_swap(1);o_swap;;135
o_swap;3;[1,2,1,3,4,5,6];;False;p_endOfIteration(1) -> p_nextIteration(1);o_next;;139
o_next;0;;4;True;p_swap(0);o_move;;143
o_move;1;;;;p_endOfIteration(0) -> p_swap(1);o_swap;;146
o_swap;2;[1,1,2,3,4,5,6];;False;p_endOfIteration(1) -> p_nextIteration(1);o_next;;150
o_next;0;;5;True;p_swap(0);o_move;;154
o_move;1;;;;p_endOfIteration(1) -> p_nextIteration(0);HALT;;157

Other trace lines
